nr,name,lon,lat
1,Mitte,9.4894928677,51.3151211858
2,Südstadt,9.4882009490,51.3005087449
3,Vorderer Westen,9.4640787357,51.3163544480
4,Wehlheiden,9.4654088136,51.3056032748
5,Bad Wilhelmshöhe,9.4011506791,51.3116605680
6,Brasselsberg,9.3972256665,51.2912775844
7,Süsterfeld-Helleböhn,9.4469292484,51.2964342813
8,Harleshausen,9.4151173612,51.3391059157
9,Kirchditmold,9.4391198473,51.3249890808
10,Rothenditmold,9.4771802265,51.3287075207
11,Nord-Holland,9.4937754140,51.3323742823
12,Philippinenhof-Warteberg,9.4941950806,51.3457423064
13,Fasanenhof,9.5123139521,51.3347662999
14,Wesertor,9.5148784085,51.3221887268
15,Wolfsanger-Hasenhecke,9.5457989433,51.3396806416
16,Bettenhausen,9.5384097499,51.3044330002
17,Forstfeld,9.5418612035,51.2915878853
18,Waldau,9.5100487565,51.2868080527
19,Niederzwehren,9.4709628876,51.2783155707
20,Oberzwehren,9.4443563894,51.2747255123
21,Nordshausen,9.4245341169,51.2790202220
22,Jungfernkopf,9.4607713668,51.3409314760
23,Unterneustadt,9.5160276635,51.3119155114
