datum,wahl,ags,gebiet-nr,gebiet-name,max-schnellmeldungen,anz-schnellmeldungen,A1,A2,A3,A,B,B1,C,D,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
19.03.23,Oberbürgermeisterwahl,6411000,30,Justus-Liebig-Haus (30),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,40,Literaturhaus (R) (40),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,50,Justus-Liebig-Haus (50),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,60,Erasmus-Kittler-Schule (60),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,90,Goetheschule (90),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,100,Goetheschule (100),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,120,Stadthaus Frankfurter Straße 71 (120),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,130,Ehem. Kyritzschule (130),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,140,Ehem. Kyritzschule (140),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,150,Ehem. Kyritzschule (150),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,180,Schillerschule (180),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,190,Schillerschule (190),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,200,Schillerschule (200),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,210,Schillerschule (210),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,220,Christoph-Graupner-Schule (220),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,230,Christoph-Graupner-Schule (230),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,240,Seniorenwohnanlage (240),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,250,Christian-Morgenstern-Schule (R) (250),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,260,Kindergarten Ev. Thomasgemeinde (260),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,270,Kindergarten Ev. Thomasgemeinde (270),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,280,Abendgymnasium (280),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,290,Abendgymnasium (290),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,310,Abendgymnasium (310),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,320,Abendgymnasium (320),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,330,Abendgymnasium (330),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,340,Elly-Heuss-Knapp-Schule (R) (340),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,350,Elly-Heuss-Knapp-Schule (350),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,370,Ehemalige Lessingschule (370),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,390,Käthe-Kollwitz-Schule (390),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,411,Erich Kästner-Schule (411),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,412,Erich Kästner-Schule (412),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,421,Erich Kästner-Schule (R) (421),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,422,Erich Kästner-Schule (422),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,431,Kinderhort,1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,432,Erich Kästner-Schule (432),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,440,Kinderhort,1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,450,Stadtteilschule Arheilgen (450),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,460,Stadtteilschule Arheilgen (460),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,481,Astrid-Lindgren-Schule (481),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,482,Wilhelm-Busch-Schule (482),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,483,Wilhelm-Busch-Schule (483),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,490,Astrid-Lindgren-Schule (R) (490),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,500,Astrid-Lindgren-Schule (500),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,510,Astrid-Lindgren-Schule (510),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,520,Wilhelm-Busch-Schule (520),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,530,Wilhelm-Busch-Schule (530),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,540,Ludwig-Georgs-Gymnasium (540),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,550,Ludwig-Georgs-Gymnasium (550),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,560,Ludwig-Georgs-Gymnasium (560),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,570,Heinrich-Hoffmann-Schule (R) (570),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,580,Heinrich-Hoffmann-Schule (580),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,600,Georg-Büchner-Schule (R) (600),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,610,Alice-Eleonoren-Schule,1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,620,Lichtenbergschule (620),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,630,Herderschule (R) (630),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,640,Herderschule (640),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,660,Herderschule (660),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,680,Mornewegschule (680),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,690,Mornewegschule (690),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,710,Ehemalige Außenstelle der Peter-Behrens-Schule (710),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,720,Ehemalige Außenstelle der Peter-Behrens-Schule (720),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,730,Heinrich-Heine-Schule (730),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,750,Heinrich-Heine-Schule (750),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,760,Heinrich-Heine-Schule (R) (760),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,780,Wilhelm-Leuschner-Schule (780),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,790,Wilhelm-Leuschner-Schule (790),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,800,Jobcenter Darmstadt (800),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,820,Friedrich-Ebert-Schule (820),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,830,Friedrich-Ebert-Schule (830),1,0,,,,,,,,,,,,,,,,,,
19.03.23,Oberbürgermeisterwahl,6411000,840,Friedrich-Ebert-Schule (840),1,0,,,,,,,,,,,,,,,,,,
