WAHLBEZIRK,ID1,ortsteil,ortsteilnr
"840","1",West,"5"
"710","2",Mitte,"1"
"150","3",Nord,"2"
"220","4",Nord,"2"
"330","5",Ost,"3"
"483","6",Arheiligen,"6"
"530","7",Arheiligen,"6"
"240","8",Nord,"2"
"260","9",Ost,"3"
"460","10",Arheiligen,"6"
"860","11",Wixhausen,"8"
"880","12",Wixhausen,"8"
"870","13",Wixhausen,"8"
"890","14",Wixhausen,"8"
"510","15",Arheiligen,"6"
"440","16",Arheiligen,"6"
"500","17",Arheiligen,"6"
"481","18",Arheiligen,"6"
"482","19",Arheiligen,"6"
"120","20",Nord,"2"
"490","21",Arheiligen,"6"
"450","22",Arheiligen,"6"
"270","23",Ost,"3"
"412","24",Kranichstein,"9"
"422","25",Kranichstein,"9"
"230","26",Nord,"2"
"280","27",Ost,"3"
"370","28",Nord,"2"
"60","29",Nord,"2"
"90","30",Nord,"2"
"130","31",Nord,"2"
"100","32",Nord,"2"
"20","33",Mitte,"1"
"140","34",Nord,"2"
"190","35",Nord,"2"
"180","36",Nord,"2"
"210","37",Nord,"2"
"250","38",Nord,"2"
"200","39",Nord,"2"
"310","40",Ost,"3"
"290","41",Ost,"3"
"540","42",Mitte,"1"
"560","43",Mitte,"1"
"50","44",Mitte,"1"
"10","45",Mitte,"1"
"580","46",Mitte,"1"
"570","47",Mitte,"1"
"550","48",Mitte,"1"
"620","49",Bessungen,"4"
"800","50",West,"5"
"790","51",West,"5"
"780","52",West,"5"
"720","53",Mitte,"1"
"690","54",Mitte,"1"
"600","55",Bessungen,"4"
"610","56",Bessungen,"4"
"680","57",Bessungen,"4"
"730","58",Bessungen,"4"
"660","59",Bessungen,"4"
"630","60",Bessungen,"4"
"640","61",Bessungen,"4"
"760","62",West,"5"
"750","63",West,"5"
"820","64",West,"5"
"850","65",West,"5"
"1040","66",Eberstadt,"7"
"1050","67",Eberstadt,"7"
"900","68",Eberstadt,"7"
"910","69",Eberstadt,"7"
"930","70",Eberstadt,"7"
"920","71",Eberstadt,"7"
"980","72",Eberstadt,"7"
"940","73",Eberstadt,"7"
"960","74",Eberstadt,"7"
"950","75",Eberstadt,"7"
"970","76",Eberstadt,"7"
"1010","77",Eberstadt,"7"
"1000","78",Eberstadt,"7"
"990","79",Eberstadt,"7"
"1030","80",Eberstadt,"7"
"1020","81",Eberstadt,"7"
"421","82",Kranichstein,"9"
"411","83",Kranichstein,"9"
"380","84",Nord,"2"
"413","85",Kranichstein,"9"
"810","86",West,"5"
"350","87",Ost,"3"
"390","88",Nord,"2"
"522","89",Arheiligen,"6"
"650","90",Bessungen,"4"
"832","91",West,"5"
"30","92",Mitte,"1"
"340","93",Ost,"3"
"320","94",Ost,"3"
"521","95",Arheiligen,"6"
"831","96",West,"5"
"40","97",Mitte,"1"
"431","98",Kranichstein,"9"
"432","99",Kranichstein,"9"
