"OBJECTID","Wahlbezirk","Stat_Bez","ortsteilnr","ortsteilname"
1,"0111","011","01","Mitte"
2,"0112","011","01","Mitte"
3,"0113","011","01","Mitte"
4,"0114","011","01","Mitte"
5,"0121","012","01","Mitte"
6,"0131","013","01","Mitte"
7,"0211","021","02","Südstadt"
8,"0212","021","02","Südstadt"
9,"0213","021","02","Südstadt"
10,"0214","021","02","Südstadt"
11,"0221","022","02","Südstadt"
12,"0311","031","03","Vorderer Westen"
13,"0312","031","03","Vorderer Westen"
14,"0313","031","03","Vorderer Westen"
15,"0314","031","03","Vorderer Westen"
16,"0321","032","03","Vorderer Westen"
17,"0322","032","03","Vorderer Westen"
18,"0323","032","03","Vorderer Westen"
19,"0324","032","03","Vorderer Westen"
20,"0325","032","03","Vorderer Westen"
21,"0331","033","03","Vorderer Westen"
22,"0332","033","03","Vorderer Westen"
23,"0333","033","03","Vorderer Westen"
24,"0334","033","03","Vorderer Westen"
25,"0335","033","03","Vorderer Westen"
26,"0336","033","03","Vorderer Westen"
27,"0411","041","04","Wehlheiden"
28,"0412","041","04","Wehlheiden"
29,"0413","041","04","Wehlheiden"
30,"0421","042","04","Wehlheiden"
31,"0422","042","04","Wehlheiden"
32,"0423","042","04","Wehlheiden"
33,"0424","042","04","Wehlheiden"
34,"0425","042","04","Wehlheiden"
35,"0431","043","04","Wehlheiden"
36,"0432","043","04","Wehlheiden"
37,"0433","043","04","Wehlheiden"
38,"0511","051","05","Bad Wilhelmshöhe"
39,"0512","051","05","Bad Wilhelmshöhe"
40,"0513","051","05","Bad Wilhelmshöhe"
41,"0521","052","05","Bad Wilhelmshöhe"
42,"0522","052","05","Bad Wilhelmshöhe"
43,"0531","053","05","Bad Wilhelmshöhe"
44,"0532","053","05","Bad Wilhelmshöhe"
45,"0533","053","05","Bad Wilhelmshöhe"
46,"0534","053","05","Bad Wilhelmshöhe"
47,"0535","053","05","Bad Wilhelmshöhe"
48,"0536","053","05","Bad Wilhelmshöhe"
49,"0611","061","06","Brasselsberg"
50,"0621","062","06","Brasselsberg"
51,"0622","062","06","Brasselsberg"
52,"0711","071","07","Süsterfeld-Helleböhn"
53,"0712","071","07","Süsterfeld-Helleböhn"
54,"0713","071","07","Süsterfeld-Helleböhn"
55,"0714","071","07","Süsterfeld-Helleböhn"
56,"0715","071","07","Süsterfeld-Helleböhn"
57,"0811","081","08","Harleshausen"
58,"0812","081","08","Harleshausen"
