datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;D1;D2;D3;D4
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;1;00001 - Gewerblich-technische Schule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;2;00002 - Gewerblich-technische Schule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;3;00003 - Gewerblich-technische Schule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;4;00004 - Eichendorffschule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;5;00005 - Eichendorffschule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;6;00006 - Eichendorffschule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;7;00007 - Hafenschule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;8;00008 - Hafenschule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;9;00009 - Schillerschule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;10;00010 - Goetheschule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;11;00011 - Goetheschule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;12;00012 - Schillerschule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;13;00013 - Schillerschule;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;14;00014 - Schillerschule;1;0;;;;;;;;;;;;
