datum;ags;Bezirk-Nr;Bezirk-Name;Bezirk-Art;Wahlraum-Bezeichnung;Wahlraum-Adresse;Wahlraum-Barrierefrei;Wahlraum-Barrierefrei-Ergaenzung
17.09.2023;06413000;1;00001 - Gewerblich-technische Schule;W;Gewerblich-technische Schule;Schloßgrabengasse 10, 63065 Offenbach am Main;ja;
17.09.2023;06413000;2;00002 - Gewerblich-technische Schule;W;Gewerblich-technische Schule;Schloßgrabengasse 10, 63065 Offenbach am Main;ja;
17.09.2023;06413000;3;00003 - Gewerblich-technische Schule;W;Gewerblich-technische Schule;Schloßgrabengasse 10, 63065 Offenbach am Main;ja;
17.09.2023;06413000;4;00004 - Eichendorffschule;W;Eichendorffschule;Bleichstraße 8, 63065 Offenbach am Main;nein;
17.09.2023;06413000;5;00005 - Eichendorffschule;W;Eichendorffschule;Bleichstraße 8, 63065 Offenbach am Main;nein;
17.09.2023;06413000;6;00006 - Eichendorffschule;W;Eichendorffschule;Bleichstraße 8, 63065 Offenbach am Main;nein;
17.09.2023;06413000;7;00007 - Hafenschule;W;Hafenschule, Eingang an den Fahrradständern;Hafenallee 15, 63067 Offenbach am Main;ja;
17.09.2023;06413000;8;00008 - Hafenschule;W;Hafenschule, Eingang an den Fahrradständern;Hafenallee 15, 63067 Offenbach am Main;ja;
17.09.2023;06413000;9;00009 - Schillerschule;W;Schillerschule;Goethestraße 109, 63067 Offenbach am Main;ja;
17.09.2023;06413000;10;00010 - Goetheschule;W;Goetheschule;Bernardstraße 68, 63067 Offenbach am Main;nein;
17.09.2023;06413000;11;00011 - Goetheschule;W;Goetheschule;Bernardstraße 68, 63067 Offenbach am Main;nein;
17.09.2023;06413000;12;00012 - Schillerschule;W;Schillerschule;Goethestraße 109, 63067 Offenbach am Main;ja;
17.09.2023;06413000;13;00013 - Schillerschule;W;Schillerschule;Goethestraße 109, 63067 Offenbach am Main;ja;
17.09.2023;06413000;14;00014 - Schillerschule;W;Schillerschule;Goethestraße 109, 63067 Offenbach am Main;ja;
17.09.2023;06413000;15;00015 - Goetheschule;W;Goetheschule;Bernardstraße 68, 63067 Offenbach am Main;nein;
17.09.2023;06413000;16;00016 - Leibnizschule;W;Leibnizschule;Parkstraße 1, 63067 Offenbach am Main;nein;
17.09.2023;06413000;17;00017 - Leibnizschule;W;Leibnizschule;Parkstraße 1, 63067 Offenbach am Main;nein;
17.09.2023;06413000;18;00018 - Leibnizschule;W;Leibnizschule;Parkstraße 1, 63067 Offenbach am Main;nein;
17.09.2023;06413000;19;00019 - Mathildenschule;W;Mathildenschule;Mathildenstraße 30, 63065 Offenbach am Main;ja;
17.09.2023;06413000;20;00020 - Mathildenschule;W;Mathildenschule;Mathildenstraße 30, 63065 Offenbach am Main;ja;
17.09.2023;06413000;21;00021 - Mathildenschule;W;Mathildenschule;Mathildenstraße 30, 63065 Offenbach am Main;ja;
17.09.2023;06413000;22;00022 - Mathildenschule;W;Mathildenschule;Mathildenstraße 30, 63065 Offenbach am Main;ja;
17.09.2023;06413000;23;00023 - Leibnizschule;W;Leibnizschule;Parkstraße 1, 63067 Offenbach am Main;nein;
17.09.2023;06413000;24;00024 - Leibnizschule;W;Leibnizschule;Parkstraße 1, 63067 Offenbach am Main;nein;
17.09.2023;06413000;25;00025 - Leibnizschule;W;Leibnizschule;Parkstraße 1, 63067 Offenbach am Main;nein;
17.09.2023;06413000;26;00026 - Beethovenschule;W;Beethovenschule;Beethovenstraße 39, 63069 Offenbach am Main;ja;
17.09.2023;06413000;27;00027 - Beethovenschule;W;Beethovenschule;Beethovenstraße 39, 63069 Offenbach am Main;ja;
17.09.2023;06413000;28;00028 - Beethovenschule;W;Beethovenschule;Beethovenstraße 39, 63069 Offenbach am Main;ja;
17.09.2023;06413000;29;00029 - Beethovenschule;W;Beethovenschule;Beethovenstraße 39, 63069 Offenbach am Main;ja;
17.09.2023;06413000;30;00030 - Beethovenschule;W;Beethovenschule;Beethovenstraße 39, 63069 Offenbach am Main;ja;
17.09.2023;06413000;31;00031 - Lauterbornschule;W;Lauterbornschule;Schubertstraße 89-91, 63069 Offenbach am Main;ja;
17.09.2023;06413000;32;00032 - Lauterbornschule;W;Lauterbornschule;Schubertstraße 89-91, 63069 Offenbach am Main;ja;
17.09.2023;06413000;33;00033 - Lauterbornschule;W;Lauterbornschule;Schubertstraße 89-91, 63069 Offenbach am Main;ja;
17.09.2023;06413000;34;00034 - Lauterbornschule;W;Lauterbornschule;Schubertstraße 89-91, 63069 Offenbach am Main;ja;
17.09.2023;06413000;35;00035 - Albert-Schweitzer-Schule;W;Albert-Schweitzer-Schule;Waldstraße 113, 63071 Offenbach am Main;nein;
17.09.2023;06413000;36;00036 - Albert-Schweitzer-Schule;W;Albert-Schweitzer-Schule;Waldstraße 113, 63071 Offenbach am Main;nein;
17.09.2023;06413000;37;00037 - Albert-Schweitzer-Schule;W;Albert-Schweitzer-Schule;Waldstraße 113, 63071 Offenbach am Main;nein;
17.09.2023;06413000;38;00038 - Humboldtschule;W;Humboldtschule;Humboldtstraße 30, 63069 Offenbach am Main;ja;
17.09.2023;06413000;39;00039 - Albert-Schweitzer-Schule;W;Albert-Schweitzer-Schule;Waldstraße 113, 63071 Offenbach am Main;nein;
17.09.2023;06413000;40;00040 - IGS Lindenfeld (ehem. Bachschule);W;IGS Lindenfeld (ehem. Bachschule);Friedensstraße 81, 63071 Offenbach am Main;nein;
17.09.2023;06413000;41;00041 - IGS Lindenfeld (ehem. Bachschule);W;IGS Lindenfeld (ehem. Bachschule);Friedensstraße 81, 63071 Offenbach am Main;nein;
17.09.2023;06413000;42;00042 - Albert-Schweitzer-Schule;W;Albert-Schweitzer-Schule;Waldstraße 113, 63071 Offenbach am Main;nein;
17.09.2023;06413000;43;00043 - Humboldtschule;W;Humboldtschule;Humboldtstraße 30, 63069 Offenbach am Main;ja;
