name,street,country,city,lat,long
Gewerblich-technische Schule,"Schloßgrabengasse 10, 63065 Offenbach am Main",Germany,Offenbach am Main,50.1073783,8.766503241219617
Eichendorffschule,"Bleichstraße 8, 63065 Offenbach am Main",Germany,Offenbach am Main,50.102740850000004,8.763179238217013
"Hafenschule, Eingang an den Fahrradständern","Hafenallee 15, 63067 Offenbach am Main",Germany,Offenbach am Main,50.11248655,8.753856348480802
Schillerschule,"Goethestraße 109, 63067 Offenbach am Main",Germany,Offenbach am Main,50.10804685,8.74496647131853
Goetheschule,"Bernardstraße 68, 63067 Offenbach am Main",Germany,Offenbach am Main,50.1067742,8.750450505029114
Leibnizschule,"Parkstraße 1, 63067 Offenbach am Main",Germany,Offenbach am Main,50.0991688,8.751133277906352
Mathildenschule,"Mathildenstraße 30, 63065 Offenbach am Main",Germany,Offenbach am Main,50.1046651,8.77455831717437
Beethovenschule,"Beethovenstraße 39, 63069 Offenbach am Main",Germany,Offenbach am Main,50.0921656,8.757195961491316
Lauterbornschule,"Schubertstraße 89-91, 63069 Offenbach am Main",Germany,Offenbach am Main,50.0832935,8.7592373
Albert-Schweitzer-Schule,"Waldstraße 113, 63071 Offenbach am Main",Germany,Offenbach am Main,50.0951932,8.76681191500202
Humboldtschule,"Humboldtstraße 30, 63069 Offenbach am Main",Germany,Offenbach am Main,50.09103365,8.76826600298628
IGS Lindenfeld (ehem. Bachschule),"Friedensstraße 81, 63071 Offenbach am Main",Germany,Offenbach am Main,50.098553550000005,8.77438904341498
Eigenbetrieb Stadt Offenbach (ESO),"Daimlerstraße 8, 63071 Offenbach am Main",Germany,Offenbach am Main,50.0992256,8.789092247899841
Anne-Frank-Schule,"Eberhard-von-Rochow-Straße 43, 63069 Offenbach am Main",Germany,Offenbach am Main,50.08424395,8.766486653746183
Waldschule Tempelsee,"Brunnenweg 105, 63071 Offenbach am Main",Germany,Offenbach am Main,50.084407,8.792031723873833
Geschwister-Scholl-Schule,"Erich-Ollenhauer-Straße 1, 63073 Offenbach am Main",Germany,Offenbach am Main,50.0870843,8.798425037695786
Schule Bieber,"Mauerfeldstraße 4, 63073 Offenbach am Main",Germany,Offenbach am Main,50.08814695,8.804459492270592
Schule Bieber-Waldhof,"Ottersfuhrstraße 8, 63073 Offenbach am Main",Germany,Offenbach am Main,50.0863098,8.823875025183767
Friedrich-Ebert-Schule,"Am Wiesengrund 43, 63075 Offenbach am Main",Germany,Offenbach am Main,50.11383,8.80619850490654
Uhlandschule,"Stiftstraße 25, 63075 Offenbach am Main",Germany,Offenbach am Main,50.119646,8.7833846
Ernst-Reuter-Schule,"Bürgeler Straße 60, 63075 Offenbach am Main",Germany,Offenbach am Main,50.1257678,8.79653674460367
Rathaus,"Stadthof 15, 63065 Offenbach am Main",Germany,Offenbach am Main,50.1057105,8.7612003
