datum;ags;Bezirk-Nr;Bezirk-Name;Bezirk-Art;Wahlraum-Bezeichnung;Wahlraum-Adresse;Wahlraum-Barrierefrei;Wahlraum-Barrierefrei-Ergaenzung
09.03.2025;06414000;111;0111 Rathaus;W;Rathaus, 1. OG, Kleiner Festsaal;Schlossplatz 6, 65183 Wiesbaden;ja;
09.03.2025;06414000;112;0112 Rathaus;W;Rathaus, Erdgeschoss, Zimmer 22;Schlossplatz 6, 65183 Wiesbaden;ja;
09.03.2025;06414000;121;0121 Oranienschule;W;Oranienschule, Erdgeschoss, Zimmer 0;Oranienstraße 7, 65185 Wiesbaden;nein;
09.03.2025;06414000;122;0122 Oranienschule;W;Oranienschule, Erdgeschoss, Zimmer 1;Oranienstraße 7, 65185 Wiesbaden;nein;
09.03.2025;06414000;123;0123 Oranienschule;W;Oranienschule, Erdgeschoss, Zimmer 2;Oranienstraße 7, 65185 Wiesbaden;nein;
09.03.2025;06414000;131;0131 Friedrich-Ludwig-Jahn-Schule;W;Friedrich-Ludwig-Jahn-Schule, Eing. Adelheidstr., EG, Mensa;Karlstraße 21 bis 25, 65185 Wiesbaden;ja;
09.03.2025;06414000;132;0132 Oranienschule;W;Oranienschule, Erdgeschoss, Zimmer 8;Oranienstraße 7, 65185 Wiesbaden;nein;
09.03.2025;06414000;133;0133 Oranienschule;W;Oranienschule, Erdgeschoss, Zimmer 9;Oranienstraße 7, 65185 Wiesbaden;nein;
09.03.2025;06414000;151;0151 Integrierte Gesamtschule;W;Integrierte Gesamtschule, Altbau, Erdg. 1-07;Kastellstraße 11, 65183 Wiesbaden;nein;
09.03.2025;06414000;152;0152 Anton-Gruner-Schule;W;Anton-Gruner-Schule, Erdgeschoss, Zimmer 1;Lehrstraße 10, 65183 Wiesbaden;nein;
09.03.2025;06414000;211;0211 Robert-Schumann-Schule;W;Robert-Schumann-Schule, Eingang Neubau, Zi. 1;Schumannstraße 18, 65193 Wiesbaden;ja;
09.03.2025;06414000;212;0212 Robert-Schumann-Schule;W;Robert-Schumann-Schule, Eingang Neubau, Zi. 21;Schumannstraße 18, 65193 Wiesbaden;ja;
09.03.2025;06414000;213;0213 Robert-Schumann-Schule;W;Robert-Schumann-Schule, Eingang Neubau, Zi. 2;Schumannstraße 18, 65193 Wiesbaden;ja;
09.03.2025;06414000;221;0221 thalhaus;W;thalhaus, Saal;Nerotal 18, 65193 Wiesbaden;ja;
09.03.2025;06414000;222;0222 Ev. Verein f. Innere Mission;W;Ev. Verein f. Innere Mission, EG, Aula, Schule am Geisberg;Jonas-Schmidt-Straße 2, 65193 Wiesbaden;ja;
09.03.2025;06414000;231;0231 thalhaus;W;thalhaus, Saal;Nerotal 18, 65193 Wiesbaden;ja;
09.03.2025;06414000;232;0232 Johannes-Maaß-Schule;W;Johannes-Maaß-Schule, Hauptgeb., EG, Zi. 003;Johannes-Maaß-Straße 1, 65193 Wiesbaden;nein;
09.03.2025;06414000;241;0241 Ev. Kreuzkirchengemeinde;W;Ev. Kreuzkirchengemeinde, Gemeindesaal;Walkmühltalanlagen 1, 65195 Wiesbaden;ja;
09.03.2025;06414000;242;0242 Comeniusschule;W;Comeniusschule, Mittelbau, EG, R. B 024, Mensa;Comeniusstraße 5, 65195 Wiesbaden;ja;
09.03.2025;06414000;243;0243 Riederbergschule;W;Riederbergschule, Zimmer 2;Philippsbergstr. 26 bis 28, 65195 Wiesbaden;nein;
09.03.2025;06414000;244;0244 Riederbergschule;W;Riederbergschule, Zimmer 6;Philippsbergstr. 26 bis 28, 65195 Wiesbaden;nein;
09.03.2025;06414000;251;0251 Albrecht-Dürer-Schule;W;Albrecht-Dürer-Schule, Erdgeschoss, Zimmer 131;Lahnstraße 34, 65195 Wiesbaden;nein;
09.03.2025;06414000;271;0271 Martin-Niemöller-Schule;W;Martin-Niemöller-Schule, EG, Zi. 175;Bierstadter Straße 47, 65189 Wiesbaden;ja;
09.03.2025;06414000;281;0281 Obermayr Europa-Schule;W;Obermayr Europa-Schule, Eing. Rosenstr. 1, Mensa;Bierstadter Straße 14, 65189 Wiesbaden;ja;
09.03.2025;06414000;311;0311 Helene-Lange-Schule;W;Helene-Lange-Schule, Erdgeschoss, Zimmer 104;Langenbeckstr. 6 bis 18, 65189 Wiesbaden;nein;
09.03.2025;06414000;321;0321 Obermayr Europa-Schule;W;Obermayr Europa-Schule, Eing. Rosenstr. 1, Mensa;Bierstadter Straße 14, 65189 Wiesbaden;ja;
09.03.2025;06414000;322;0322 Helene-Lange-Schule;W;Helene-Lange-Schule, Erdgeschoss, Zimmer 106;Langenbeckstr. 6 bis 18, 65189 Wiesbaden;nein;
09.03.2025;06414000;331;0331 Helene-Lange-Schule;W;Helene-Lange-Schule, Erdgeschoss, Zimmer 105;Langenbeckstr. 6 bis 18, 65189 Wiesbaden;nein;
09.03.2025;06414000;421;0421 Schulze-Delitzsch-Schule;W;Schulze-Delitzsch-Schule, Erdgeschoss, Zimmer B 30;Welfenstraße 13, 65189 Wiesbaden;ja;
09.03.2025;06414000;451;0451 Friedrich-Ebert-Schule;W;Friedrich-Ebert-Schule, Zimmer A 013;Balthasar-Neumann-Straße 1, 65189 Wiesbaden;ja;
09.03.2025;06414000;452;0452 Adalbert-Stifter-Schule;W;Adalbert-Stifter-Schule, EG, Zimmer 026, Mensa;Brunhildenstraße 2, 65189 Wiesbaden;nein;
09.03.2025;06414000;453;0453 Adalbert-Stifter-Schule;W;Adalbert-Stifter-Schule, EG, Zimmer 027;Brunhildenstraße 2, 65199 Wiesbaden;nein;
09.03.2025;06414000;461;0461 Adalbert-Stifter-Schule;W;Adalbert-Stifter-Schule, EG, Aula;Brunhildenstraße 2, 65189 Wiesbaden;nein;
09.03.2025;06414000;511;0511 Mittelstufenschule;W;Mittelstufenschule, Ecke Klopstockstr. Container;Wolfram-v.-Eschenbach-Str. , 65187 Wiesbaden;nein;
09.03.2025;06414000;512;0512 Gutenbergschule;W;Gutenbergschule, EG, Mensa;Mosbacher Straße 1, 65187 Wiesbaden;ja;
09.03.2025;06414000;513;0513 Mittelstufenschule;W;Mittelstufenschule, Ecke Klopstockstr. Container;Wolfram-v.-Eschenbach-Str. , 65187 Wiesbaden;nein;
09.03.2025;06414000;521;0521 Gutenbergschule;W;Gutenbergschule, EG, Mensa;Mosbacher Straße 1, 65187 Wiesbaden;ja;
09.03.2025;06414000;522;0522 Gymnasium am Mosbacher Berg;W;Gymnasium am Mosbacher Berg, Geb. M, Zimmer M 20;Mosbacher Straße 59, 65187 Wiesbaden;ja;
09.03.2025;06414000;611;0611 Gerh.-Hauptmann-Schule;W;Gerh.-Hauptmann-Schule, Eing. Blumenthalstr. Mensa;Manteuffelstraße 12, 65197 Wiesbaden;ja;
09.03.2025;06414000;621;0621 Friedrich-Ludwig-Jahn-Schule;W;Friedrich-Ludwig-Jahn-Schule, Eing. Adelheidstr., EG, Mensa;Karlstraße 21 bis 25, 65185 Wiesbaden;ja;
09.03.2025;06414000;622;0622 Hilde-Müller-Haus;W;Hilde-Müller-Haus, Saal;Wallufer Platz 2, 65197 Wiesbaden;ja;
09.03.2025;06414000;623;0623 IGS Rheingauviertel;W;IGS Rheingauviertel, Neubau, Erdg. Zi. C 020;Lorcher Straße 12, 65197 Wiesbaden;ja;
09.03.2025;06414000;624;0624 Gerh.-Hauptmann-Schule;W;Gerh.-Hauptmann-Schule, Eing. Blumenthalstr. Mensa;Manteuffelstraße 12, 65197 Wiesbaden;ja;
09.03.2025;06414000;631;0631 IGS Rheingauviertel;W;IGS Rheingauviertel, Neubau, Erdg. Zi. C 029;Lorcher Straße 12, 65197 Wiesbaden;ja;
09.03.2025;06414000;641;0641 IGS Rheingauviertel;W;IGS Rheingauviertel, Neubau, Erdg. Zi. C 030;Lorcher Straße 12, 65197 Wiesbaden;ja;
09.03.2025;06414000;642;0642 IGS Rheingauviertel;W;IGS Rheingauviertel, Neubau, Erdg. Zi. C 031;Lorcher Straße 12, 65197 Wiesbaden;ja;
09.03.2025;06414000;651;0651 Kinderhaus Kleinfeldchen;W;Kinderhaus Kleinfeldchen, Turnhalle Hintereingang;Dotzheimer Straße 161, 65197 Wiesbaden;ja;
09.03.2025;06414000;671;0671 Albrecht-Dürer-Schule;W;Albrecht-Dürer-Schule, Erdgeschoss, Mensa;Lahnstraße 34, 65195 Wiesbaden;nein;
09.03.2025;06414000;711;0711 Sophie-u.-Hans-Scholl-Schule;W;Sophie-u.-Hans-Scholl-Schule, Eing. Klosterw. EG, Zi. 024 A;Geschwister-Scholl-Str. 10, 65197 Wiesbaden;ja;
09.03.2025;06414000;721;0721 Sophie-u.-Hans-Scholl-Schule;W;Sophie-u.-Hans-Scholl-Schule, Seiteneing. EG, Zi. 024 B;Geschwister-Scholl-Str. 10, 65197 Wiesbaden;ja;
09.03.2025;06414000;722;0722 Sophie-u.-Hans-Scholl-Schule;W;Sophie-u.-Hans-Scholl-Schule, Seiteneing. 1. OG, Zi. 124;Geschwister-Scholl-Str. 10, 65197 Wiesbaden;ja;
09.03.2025;06414000;723;0723 Sophie-u.-Hans-Scholl-Schule;W;Sophie-u.-Hans-Scholl-Schule, Seiteneing. 1. OG, Zi. 125;Geschwister-Scholl-Str. 10, 65197 Wiesbaden;ja;
09.03.2025;06414000;811;0811 Elly-Heuss-Schule;W;Elly-Heuss-Schule, Container, Raum 081;Pl. d. Deutschen Einheit 2, 65185 Wiesbaden;ja;
